
version	2021090501	整理全部题目, 缺少结语

Strongly Disagree\n1	完全\n不同意\n1
Strongly Agree\n7	完全\n同意\n7
Not Applicable	不适用\n于我

Not at all characteristic of me\n1	不符合我\n1
Very characteristic of me\n5	很符合我\n5

Very Poor(ly) / Not at all / Never / None\n1	从不\n1
High(ly) / Completely / All the time / Many\n5	经常\n5

LETTER OF CONSENT TO PARTICIPATE IN A RESEARCH PROJECT	自愿参加研究知情同意书
On-line survey	线上问卷
Research Project Title	研究题目
FurScience Summer 2021 Furry Fandom Study	FurScience2021夏季兽圈调研

Preamble	前言
If you are a furry and 18 years or older, you are invited to participate in this survey study about furries and the furry fandom. Please read the following information concerning the study to be conducted.	如果你是一名年满18岁的Furry/兽迷, 我们邀请你来参加这项关于兽迷与兽圈的研究. 请先阅读以下关于该研究的内容. 

Purpose of the study	研究目的
This survey is part of ongoing exploratory research by FurScience looking at the psychology of furries and the furry fandom. We will be collecting information about numerous topics with the hope of gaining a better understanding of the furry fandom. Specifically, we are exploring questions about furry and fursona identity, gender, relationships, race, sexual orientation, conflict, generational differences, authenticity, bullying, the functions of fandom, and leisure activities.	这项研究是FurScience对于兽迷与兽圈的持续探索研究的一部分. 我们将会收集许多方面的信息, 希望能够对我们的兽圈有更好的了解. 具体来说, 我们想了解关于兽迷与兽设的关系及身份认同、性别认同、情感关系、种族、性取向、冲突、代沟、真实性、霸凌、兽圈的影响以及休闲活动之类的问题. 

Procedures	流程
Self-identified furries age 18 years and older who agree to participate in this project will be asked to complete an online survey which is expected to take approximately 60 minutes to complete.	年满18周岁并自我认同为Furry/兽迷并自愿参与本项目者, 请完成这份网上问卷, 该问卷预计花费60分钟. 
To thank you for your participation in this study, you will have a chance to win an Amazon gift card. Your odds of winning one of the prizes is based on the number of individuals who participate in the study. We expect that approximately 1000 individuals will take part in the study. To be entered in the draw for one (of up to ten) $25 Amazon.com gift cards, please e-mail Dr. Courtney Plante (cplante@ubishops.ca) with the confirmation code at the end of this survey. In order to be eligible for the gift card draw you will need to send the e-mail from a valid e-mail address, as we will need to contact you if you win.	为了向您的参与表示感谢, 您将有机会获得一张Amazon的礼品卡. 您的中奖几率由参与该项研究的总人数决定, 预估总人数约1000人. 若要参与抽奖并赢得一张（共10张）价值25美金的亚马逊礼品卡, 请编辑邮件给Courtney Plante 博士 (cplante@ubishops.ca) , 并注明在本问卷结束后显示的验证码. 为了您能够收到奖品, 请用有效的电子邮箱发送该邮件, 以便于中奖后的联系. 

Voluntary participation and right to withdraw	自愿参与和退出研究的权利
Participation in this research project is completely voluntary. You do not have to respond to any questions that make you feel uncomfortable and you have the right to withdraw from this study at any time with no consequences. If you decide to withdraw from the survey or want your data to be deleted and to not be analyzed by the researchers, you are asked to skip to the end of the survey and state in the final comments that you wish for your data to be deleted. You will still receive the confirmation code and be permitted to enter the draw if you choose to do this. You may also withdraw from the study by closing the browser window at any time – partial data will be deleted by the researchers. Please be advised, however, that if you close the browser window before getting to the end of the study, you will not receive the confirmation code.	该项研究的参与是完全自愿的。你不需要回答任何你不想回答的问题，并且你有权随时退出这项研究并不会有任何后果。如果你希望退出该项研究, 或希望从数据库中删除你的信息使其不再作为研究的一部分，请跳过所有问题直到问卷最后的留言区, 声明你希望删除这些数据。这样做你仍会获得验证码并有机会参与抽奖。你也可以选择通过中途关闭浏览器的方式来退出研究——研究员会手动删除不完整的问卷。然而，请注意，如果你在问卷结束之前关闭了浏览器，您将无法获得抽奖用的验证码。

SECURITY & ANONYMITY	匿名和隐私协议
Several steps will be taken to ensure the security and anonymity of survey data submitted. You will be completing the study by an online survey operated by Qualtrics. Qualtrics has implemented technical, administrative, and physical safeguards to protect the information provided via the Services from loss, misuse, and unauthorized access, disclosure, alteration, or destruction. However, no Internet transmission is ever fully secure or error free. When information is transmitted over the Internet, privacy cannot be guaranteed. There is always a risk your responses may be intercepted by a third party (e.g., government agencies, hackers). The researchers will not collect or use Internet protocol (IP) addresses or other information which could link your participation to your computer or electronic device.	为了确保数据的安全性和匿名性，我们采取了一些措施。您将会在Qualtrics运营的平台上完成此次调查。Qualtrics已经采用了技术、管理和物理保护措施，以保护通过服务提供的信息免遭丢失、误用、盗窃、披露、更改或破坏。但是，没有绝对安全且零失误的网络连接。我们不能保证信息在传输过程中的隐私性。有可能您的信息在传输过程中会被第三方截获（比如防火墙和骇客）。但是研究员不会收集IP地址等信息，将您的设备与此次问卷相关联。
The information collected over the course of this research project may be published in scientific/academic journals or shared with other persons during scientific discussions. Any reports of this study will contain information that reflects group results and not information about specific individuals. Please note that anonymous quotations from your open-ended survey responses may be used in papers and publications resulting from this study. Participants’ identities will be kept private. In order to be informed of any publications, participants may send an e-mail address to the researchers (	该研究中数据得出的信息将可能被发表在科学/学术期刊上或在学术讨论中与他人分享。该研究的任何报告都只会包含反应群体特征而非个人信息的数据。但请注意您在开放式问题中填写的内容，可能会被匿名地引用在本研究的论文或出版物上。您的身份仍然会被保密。如果您想获得关于出版物的信息，可以发送电子邮件给研究人员(
) to be kept informed about the study’s results when they are finalized. Also, check furscience.com for updates on results from the team’s studies. 	)，以便在最终确定研究结果时得到通知。同时，查看furscience.com，了解团队研究结果的更新。

Potential risks	潜在的风险
It is possible that some questions (e.g., sexual orientation, gender identity, race, relationship status, history of bullying) could make you feel some discomfort. Please remember that you are free to skip any and all questions in this study for any reason and still submit your email for the draw.	问卷中的某些题目可能会让您感到不适, 请注意您可以选择性的跳过某些问题而无需任何理由，并且仍然能够参与最终的抽奖。

Potential benefits	可能因此产生的益处
There are no direct benefits to you for participating in this research. However, your participation will have the benefit of contributing to our understanding of the furry fandom and related social psychological topics, knowledge which will hopefully benefit both the furry community and the field of psychology. Findings from this research will be made available at the FurScience Website at: www.furscience.com/research-findings.	参与该研究对你并没有任何直接益处。然而，你的参与将对更好的认识兽圈以及相关的社会心理学课题作出贡献。这些知识将对兽圈以及心理学界产生益处。该研究相关的结论将被发布在我们的网站：www.furscience.com/ 

Contact information	联系方式
Dr. Courtney Plante, the study’s principal investigator, can be reached at cplante@ubishops.ca or 819-580-0059. Dr. Roberts can be reached at Sharon.roberts@uwaterloo.ca, Dr. Reysen at Stephen.Reysen@tamuc.edu, and Dr. Gerbasi at kathleencgerbasiphd@gmail.com. This research has been approved by Bishop’s University’s Research Ethics Board (REB #102485) on July 9th, 2021, by the University of Waterloo’s Research Ethics Board (REB#43582)	要联系该研究的首席研究员Dr. Courtney Plante, 请致信cplante@ubishops.ca 或致电819-580-0059. 要联系Dr. Roberts 请致信Sharon.roberts@uwaterloo.ca, 要联系Dr. Reysen 请致信 Stephen.Reysen@tamuc.edu, 要联系 Dr. Gerbasi 请致信 kathleencgerbasiphd@gmail.com. 本研究已经于2021年7月9日通过主教大学研究伦理委员会(REB #102485)的审查，于8月6日通过滑铁卢大学伦理委员会(REB#43582)审查，
on August 6th, 2021, and by Texas A&M University's Research Ethics Board on July 20th, 2021.	于7月20日通过德州农工大学研究伦理委员会的审查.
If you have any concerns regarding this project, you may contact Dr. Cristian Berco, Chair of the Research Ethics Board, at 819-822-9600, ext. 2190, or by e-mail at cberco@ubishops.ca, or Dr. Miles Turnbull, Vice-Principal Academic at 819-822-9600, ext. 2227, or by e-mail at mturnbul@ubishops.ca. You may also contact the Office of Research Ethics at the University of Waterloo at 1-519-888-4567 ext. 36005 or reb@uwaterloo.ca.	如果你对该研究有任何疑虑，请联系伦理委员会主席 Berco 博士： cberco@ubishops.ca或致电819-822-9600转2190 或副主席Turnbull 博士：mturnbul@ubishops.ca或致电819-822-9600转2227 。您也可以联系滑铁卢大学伦理委员会：reb@uwaterloo.ca或致电1-519-888-4567转36005. 

Consent (Declaration of participant)	签署同意书
I have read and understand the terms of the present consent form. I have made this decision based on the information I have received about it, and I accept its stipulations. I understand that by completing and submitting this electronic survey I am giving my consent to participate in this study according to the terms outlined above.	我已经阅读并理解了已给出的内容。基于我了解的信息，我决定接受这些条款。我知晓完成并提交这份问卷意味着同意参与基于以上条款的这项研究。我知晓同意参与这项研究，不意味着放弃我的权利或减免研究员或相关机构的法律于学术责任。
Please print a copy of this Letter of Consent for your records.	请保存这份知情同意书以备后用。


Instructions: Please read and follow the instructions for each question/section. Unless stated otherwise, please simply select an answer. We greatly appreciate your participation and contribution to scientific knowledge about the Furry fandom. Remember there are no right or wrong answers and your responses are anonymous! Thank you for your help!	引言：请阅读每一个问题或每一章节的导语。除非另有说明，请简单选择一个答案。我们非常感谢你的参与为兽圈知识带来的贡献。请记住这里的回答没有对错之分，而且你的回答是匿名的！非常感谢您的帮助！


How old are you (in years)?	您今年的年龄是？
What country are you from (e.g., USA)?	您来自哪个国家？
What state, province, or region are you from? (e.g., Colorado)	您所在的省份（州、自治区）是？


Are you a... (Check all that apply)	您更愿意称呼自己为……（以及想要成为的）
Furry	兽迷/Furry
Military Fur	现役/退役军兽
Brony	马迷
Musician	音乐人
Artist	绘画家
Anime Fan	动漫迷/二次元
Greymuzzle	“老兽迷”（主要是年龄）
Lycanthrope	狼人等兽化者
Therian	兽信仰者
Popufur	兽圈大佬
Human	人类
Writer	写手
Gamer	游戏玩家
Sci-Fi Fan	科幻迷
Cub/Babyfur	喜欢扮演幼崽的兽迷
Otherkin	幻想生物信仰者
Other	其他（任意填写）


If you are a furry, how long, in years, have you considered yourself a furry?	如果你是一名兽迷，你自认为是兽迷有多少年了？（请填数字）
What year did you first become involved in the furry fandom? (e.g., 2010)	你大概是什么时间入的兽圈？(比如: 2010年)

What does being a furry mean to you?	成为兽迷对于你来说意味着什么？


If you currently identify with a particular animal or have a particular furry persona (fursona), what species is it? Check off as many of the options below as are applicable. If your fursona is a hybrid species, please check the "hybrid" box. You may also complete the "other" options if needed. If you have more than one fursona, please respond with the fursona you identify with most strongly.	如果你目前的身份与某种特定的动物有关，或者有一个具体的设定（兽设），它是什么物种？请把所有你觉得符合的选项都勾选上。如果你的兽设是混合种族，请同时勾选“混血”。如有需要，你也可以填写那些“其他”选项  如果你有不止一个兽设，请按照和你的身份联系最强的一个填写。
Wolf	狼
Snake	蛇
Fox	狐狸
Reptile	爬行动物
Dog	狗
Raven	渡鸦
Housecat	家猫
Crow	乌鸦
Tiger	老虎
Owl	猫头鹰
Lion	狮子
Cow	奶牛
Snow Leopard	雪豹
Bull	公牛
Other Big Cat	其他大猫
Goat	山羊	
Otter	水獭
Primate	灵长动物
Bear	熊
Mouse / Rat	老鼠/耗子
Horse	马
Insect	昆虫
Hyena	鬣狗
Protogen	Protogen/泡头鸩
Skunk	臭鼬
Hybrid	混血
Deer	鹿
Shapeshifter	变形生物
Squirrel	松鼠
Were- (e.g., werewolf)	狼人虎人之类的人变的
Dragon	龙
Unique Species独特物种
Rabbit	兔兔
Monster	怪兽
Raccoon	浣熊
Mythical / Mystical	神秘/神话生物
Pokemon	宝可梦
Other	其他（任意填写）
Gryphon	狮鹫
Sergal	鲨狗
Unicorn	独角兽
Phoenix	凤凰


If you have a fursona, what is your fursona to you? Does it serve any particular functions?	如果你有兽设，那么兽设对于你是怎样的一种存在？TA有特定的功能吗？


If you have a fursona, has your fursona changed over time? If so, how / why?	如果你有兽设，那么你是否曾经多次更换兽设？如果是的话，为什么呢？


Which of the following racial groups comes closest to identifying you
(check all that apply)
你比较接近以下那个/些种族（觉得符合的请都选上）
White	白人
Black / African Diaspora	黑人/非裔
Native American / Indigenous	美洲原住民/印第安人
East Asian or Pacific Islander	东亚/太平洋各岛（一般情况下，中国人请选这个）
Hispanic or Latina/o/x	拉丁/西班牙裔
Middle Eastern	中东人
Central Asian / Indian	中亚/印度人
Multiracial	多人种/混血儿


Do you think your race has affected your fandom experience?	你的种族是否影响到你在兽圈中的经历？（这里指人种）


